Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Easting,Northing,Long,Lat
PARKINSON,ALGESTER,D0644,TIMBERLAND PARK,11914,TIMBERLAND PK PLAYGROUND,1693,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,503413,6945538,153.0345899,-27.61415485
PARKINSON,ALGESTER,D0678,COL BENNET PARK,11907,YORELL ST PLAYGROUND,119127,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,502787,6945292,153.0282461,-27.61637712
PARKINSON,ALGESTER,D0765,ENDIANDRA STREET PARK,22363,RIDGEWOOD RD DOG OFF LEASH AREA,49544,TAP COMBINATION,Bubbler 2 taps & dog bowl,502891,6945229,153.0293003,-27.61694565
PARKINSON,CALAMVALE,D1353,BEAUDESERT ROAD PARK,11679,CALAMVALE (BEAUDESERT RD) SPORTING FIELDS,132043,BUBBLER/DRINKING FOUNTAIN,NULL,504492,6944337,153.0455297,-27.62499407
PARKINSON,CALAMVALE,D1353,BEAUDESERT ROAD PARK,11679,CALAMVALE (BEAUDESERT RD) SPORTING FIELDS,132042,TAP COMBINATION,Bubbler & Tap,504486,6944211,153.0454694,-27.62613159
PARKINSON,CALAMVALE,D1353,BEAUDESERT ROAD PARK,11680,CALAMVALE LEOPARDS AUSSIE RULES CLUBHOUSE,132065,TAP COMBINATION,Bubbler & Tap,504507,6943909,153.0456834,-27.62885791
PARKINSON,CALAMVALE,D1463,HAMISH STREET PARK,11718,HAMISH ST DOG OFF LEASH AREA,34423,TAP COMBINATION,"Bubbler, tap & dog bowl",504327,6945047,153.0438548,-27.61858488
PARKINSON,CALAMVALE,D2072,CALAMVALE DISTRICT PARK,21664,BALANCE OF PARK,142040,BUBBLER/DRINKING FOUNTAIN,Bubbler,503739,6944655,153.0378965,-27.62212553
PARKINSON,CALAMVALE,D2072,CALAMVALE DISTRICT PARK,21664,BALANCE OF PARK,142045,TAP COMBINATION,Bubbler & 2 taps,503683,6944669,153.0373289,-27.62199929
PARKINSON,FOREST LAKE,D1279,THE LAKE PARKLANDS,18415,FRESHWATER CCT PLAYGROUND,6212,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,496352,6944835,152.9630263,-27.62050077
PARKINSON,FOREST LAKE,D1279,THE LAKE PARKLANDS,24763,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,120645,TAP COMBINATION,Bubbler & Tap,496561,6944302,152.9651431,-27.62531313
PARKINSON,FOREST LAKE,D1566,PHILLIP PLACE PARK (FOREST LAKE),23043,COLLEGE AVE DOG OFF LEASH AREA,121257,TAP COMBINATION,Bubbler & Tap,497206,6944981,152.9716822,-27.61918475
PARKINSON,FOREST LAKE,D1566,PHILLIP PLACE PARK (FOREST LAKE),23043,COLLEGE AVE DOG OFF LEASH AREA,121258,TAP COMBINATION,Bubbler & Tap,497210,6944982,152.9717228,-27.61917573
PARKINSON,FOREST LAKE,D1566,PHILLIP PLACE PARK (FOREST LAKE),18559,BALANCE OF PARK,121375,TAP COMBINATION,Bubbler & Tap,497273,6945070,152.9723615,-27.61838141
PARKINSON,FOREST LAKE,D1683,PRINCETON PLACE PARK,11536,BALANCE OF PARK,120455,TAP COMBINATION,Bubbler & 2 taps,497448,6944153,152.9741332,-27.62666024
PARKINSON,FOREST LAKE,D1743,WOOGAROO RESERVE,18278,BRIGHTON PDE PICNIC AREA,27701,BUBBLER/DRINKING FOUNTAIN,Bubbler,497745,6943709,152.977142,-27.630669
PARKINSON,FOREST LAKE,D1799,CLAREMONT PARADE PARK,22966,CLAREMONT PDE MEETING SPACE,120527,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,497374,6943627,152.973382,-27.63140871
PARKINSON,FOREST LAKE,D1862,CENTRAL STREET PARK,18597,HYDE PLACE PICNIC AREA,31508,TAP COMBINATION,Drinking Fountain & 2 taps,496136,6943605,152.9608332,-27.63160435
PARKINSON,FOREST LAKE,D2007,CASCADE DRIVE PARK (NO.20),18242,TENNIS FACILITY PICNIC AREA,120372,TAP COMBINATION,1 fountain 1 tap,496509,6943894,152.9646149,-27.62899633
PARKINSON,FOREST LAKE,D2171,SANCTUARY DRIVE PARK,22404,LITCHFIELD CLOSE TENNIS COURT,120624,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,498375,6943157,152.9835278,-27.63565334
PARKINSON,FOREST LAKE,D2612,EUNGELLA TERRACE PARK,33666,BLUNDER RD PICNIC AREA,187118,BUBBLER/DRINKING FOUNTAIN,Drinking fountain,497920,6943367,152.978916,-27.63375688
PARKINSON,HEATHWOOD,D2190,BRUSH BOX PLACE PARK,30884,LAUREL ST PICNIC AREA,134839,TAP COMBINATION,Bubbler & Tap,499395,6943542,152.9938675,-27.63217849
PARKINSON,HEATHWOOD,D3054,HEATHWOOD PARK,31657,PARKWOOD DVE PICNIC AREA,166601,TAP COMBINATION,Bubbler & Tap,498717,6942973,152.9869944,-27.63731482
PARKINSON,PALLARA,D1676,BROOKBENT ROAD PARK,26601,BROOKBENT RD DOG OFF LEASH AREA,179310,TAP COMBINATION,Bubbler 2 taps & dog bowl,501214,6946087,153.012303,-27.60920235
PARKINSON,PARKINSON,D1194,SPRINGFIELD CRESCENT PARK,11654,BANNOCKBURN CRES PLAYGROUND,3127,TAP COMBINATION,Bubbler & 2 taps,503126,6943491,153.0316865,-27.63263542
PARKINSON,PARKINSON,D1195,BILLABONG PLACE PARK,11772,GRAGIN PLACE PLAYGROUND,40875,BUBBLER/DRINKING FOUNTAIN,Bubbler,503404,6943740,153.0345037,-27.63038683
PARKINSON,PARKINSON,D1195,BILLABONG PLACE PARK,11772,GRAGIN PLACE PLAYGROUND,186281,TAP COMBINATION,Bubbler & Tap,503156,6943898,153.0319895,-27.62896105
PARKINSON,PARKINSON,D1195,BILLABONG PLACE PARK,11778,AVONDALE CRES PLAYGROUND,186431,TAP COMBINATION,Bubbler & Tap,503404,6943729,153.0345038,-27.63048614
PARKINSON,PARKINSON,D1195,BILLABONG PLACE PARK,11773,BALANCE OF PARK,31363,TAP COMBINATION,Bubbler & Tap,503404,6943740,153.0345037,-27.63038683
PARKINSON,PARKINSON,D1338,LAKEWOOD AVENUE PARK,11699,ARGYLE PLACE PICNIC AREA,27846,TAP COMBINATION,Bubbler 2 taps & dog bowl,503868,6943274,153.0392085,-27.63459253
PARKINSON,PARKINSON,D1617,GREENWAYS ESPLANADE PARK,21122,GREENWAYS ESP DOG OFF LEASH AREA,46530,TAP COMBINATION,Bubbler 2 taps & dog bowl,501956,6943131,153.0198275,-27.63588762
PARKINSON,PARKINSON,D1617,GREENWAYS ESPLANADE PARK,33655,PICNIC NODE,33556,TAP COMBINATION,Bubbler & 2 taps,502004,6943029,153.0203142,-27.63680839
PARKINSON,PARKINSON,D1617,GREENWAYS ESPLANADE PARK,11574,PINEDALE CRES PICNIC AREA,187006,TAP COMBINATION,Bubbler & Tap,502328,6943880,153.0235969,-27.62912523
PARKINSON,PARKINSON,D1722,ALGESTER ROAD PARK (NO.515),11527,ALGESTER RD PICNIC AREA,174015,TAP COMBINATION,Bubbler & Tap,502838,6943060,153.0287682,-27.63652703
PARKINSON,PARKINSON,D1722,ALGESTER ROAD PARK (NO.515),11524,BALANCE OF PARK,27797,TAP COMBINATION,Bubbler & Tap,502885,6943070,153.0292446,-27.63643665
